Id,OV,Item OV,Id Contrato,Tipo,Data de criaчуo,Quantidade,Valor,Requisiчуo de compra,Id Mot. Rec.,Id Centro,Id Local Exp.,Id UF Origem,Id Origem,Id Cliente,Id UF Destino,Id Destino,Id Itinerсrio,Id Grupo Merc.,Id Produto
5510,114176307,10,"5811,0",Venda Estoque,2024-01-24,"1260,0","174598,2",,,2171,2171,MT,"9,0",1561946,MT,88,AB3844,B1260,156007
5511,114176393,10,"4360,0",Venda р Ordem BR,2023-10-27,"39,0","20046,0",0020762560,,2171,JF17,MT,"4,0",1047886,MT,4,AA7014,B1450,155242
5512,114177672,10,"5612,0",Venda р Ordem BR,2024-01-22,"195,0","306395,7",0020762574,,2171,JF66,MT,"13,0",1198539,MT,195,AA6876,B1450,155103
5513,114183690,30,"5232,0",Venda Estoque,2023-12-05,"200,0","405745,2",,00,2171,JF60,MT,"13,0",2146743,MT,180,AA6906,B1450,10001409
5514,114183693,30,"4565,0",Venda Estoque,2023-12-05,"400,0","811490,4",,00,2171,JF60,MT,"13,0",1882643,MT,13,AA6929,B1450,10001409
5515,114190768,20,"2827,0",Venda Estoque,2023-08-25,"2010,0","7525,44",,,2171,2171,MT,"9,0",2140551,RO,91,,B1260,155987
5516,114191181,10,"5823,0",Venda Estoque,2024-01-26,"1000,0","7930,0",,,2171,2171,MT,"9,0",2032409,MT,106,,B1260,156069
5517,114191258,10,"5525,0",Venda Estoque,2024-01-25,"750,0","491642,66",,00,2168,JS33,MG,"42,0",1105976,PI,140,AC0427,01000,156657
5518,114191299,10,"5699,0",Venda Estoque,2024-01-19,"120,0","8268,0",,32,2166,2166,MA,"6,0",1107810,MA,83,AA4015,B1260,156853
5519,114191440,10,"5592,0",Venda Estoque,2024-01-16,"170,0","83300,0",,00,2171,JF61,MT,"13,0",2354552,MT,198,AC0282,B1450,156233
5520,114191463,10,"5595,0",Venda Estoque,2024-01-16,"265,0","129850,0",,00,2171,JF61,MT,"13,0",2336131,MT,17,AA6915,B1450,156233
5521,114191481,10,"5502,0",Venda Estoque,2024-01-16,"100,0","49000,0",,00,2171,JF61,MT,"13,0",2054151,MT,32,AA6867,B1450,156233
5522,114191487,10,"5499,0",Venda Estoque,2024-01-16,"120,0","58800,0",,00,2171,JF61,MT,"13,0",2342490,MT,19,AA6936,B1450,156233
5523,114191491,10,"5507,0",Venda Estoque,2024-01-16,"60,0","29400,0",,00,2171,JF61,MT,"13,0",2342490,MT,19,AA6936,B1450,156233
5524,114191706,10,"5529,0",Venda Estoque,2024-01-25,"1200,0","74488,32",,,2167,2167,TO,"8,0",1105976,PI,140,AA4167,B1260,156853
5525,114191925,10,"5923,0",Venda Estoque,2024-01-29,"2000,0","56200,0",,,2171,2171,MT,"9,0",1197722,MT,95,,B1260,156007
5526,114191942,20,"5720,0",Venda Estoque,2024-01-29,"580,0","6565,6",,00,2171,2171,MT,"9,0",1063030,MT,202,,B1260,155991
5527,114191942,50,"5721,0",Venda Estoque,2024-01-29,"580,0","6565,6",,,2171,2171,MT,"9,0",1063030,MT,202,,B1260,155992
5528,114191942,30,"5722,0",Venda Estoque,2024-01-29,"600,0","3300,0",,,2171,2171,MT,"9,0",1063030,MT,202,,B1260,156002
5529,114191942,10,"5723,0",Venda Estoque,2024-01-29,"600,0","16800,0",,,2171,2171,MT,"9,0",1063030,MT,202,,B1260,156007
5530,114191942,40,"5724,0",Venda Estoque,2024-01-29,"2480,0","12648,0",,,2171,2171,MT,"9,0",1063030,MT,202,,B1260,156819
5531,114193142,20,"5821,0",Venda Estoque,2024-01-25,"1500,0","86715,0",,,2171,2171,MT,"9,0",2367381,MT,69,AB3838,B1260,155992
