Id,Itinerário,Distância KM
AB2091,(SEEDCORP)BURITIS->(1001158)SAO DESIDERI,605
AB5045,(MULTI)PARANAGUA->(1422679)CAMPO NOVO DO,2.170
AB4916,(MULTI)SAO LUIS->(1062642)SAO FELIX DO A,1.859
AB5046,(MULTI)PARANAGUA->(1928583)COMODORO,2.409
AB2023,(ORIGEO)CUIABA->(1661807)PRIMAVERA DO LE,250
AB4280,(MULTI)CUIABA->(1063123)TANGARÁ DA SERRA,252
AB2447,(SEEDCORP)NOVA MUTUM->(2050910)TAPURAH,191
AB2445,(UNIGGEL)CHAPADAO DO CEU->(2050910)TAPUR,1.019
AA3966,(2165)LEM->LEM,50
AA4128,(2167)ARAGUAINA->CAMPOS LINDOS,241
AB3666,(PROGRESSO )SEBASTIAO LEAL->(2257350)SAO,1.007
AA3988,(2165)LEM->RIACHAO DAS NEVES,142
AA6868,(MULTI)RONDONOP.->NOVA CANAA DO NORTE,896
AA3767,(FERT)SAO LUIS->B. GDE DO RIBEIRO,808
AB4284,(MULTI)CUIABA->(2340625)PIMENTEIRAS DO O,931
AB4283,(MULTI)CUIABA->(2340616)CASTANHEIRAS,1.058
AB4277,(MULTI)CUIABA->(2069370)BRASNORTE,588
AB3903,(ORÍGEO)CUIABA->(2075712)SINOP,480
AB1299,(SEEDCORP)SAO DESIDERIO->(2297285)SAO DE,50
AB4512,(MULTI)CUIABA->(1900843)BARRA DO GARCAS,515
AB5519,(MULTI)URUCUI->(1976342)ARAGOMINAS,566
AB5520,(MULTI)URUCUI->(1977047)ARAGUACEMA,842
AB5521,(MULTI)URUCUI->(2264480)COUTO DE MAGALHA,700
AA4153,(2167)ARAGUAINA->ITAPIRATINS,203
AB5522,(MULTI)URUCUI->(2051478)GUARAI,686
AA4001,(2165)LEM->SEBASTIAO LEAL,779
AA4157,(2167)ARAGUAINA->LAGOA DA CONFUSAO,488
AA4190,(2167)ARAGUAINA->SAN. DO ARAGUAIA,517
AA3837,(FERT)SAO LUIS->SILVANOPOLIS,1.362
AA4026,(2166)BALSAS->BOM JESUS,522
AA4164,(2167)ARAGUAINA->MATEIROS,679
AA1644,(Progresso)SEBASTIAO L.->(1787940)BOM J.,225
AB2246,(OILEMA)BARREIRAS->(1787940)BOM JESUS,468
AB3656,(SLC)CORRENTINA->(1787940)BOM JESUS,634
AB2247,(OILEMA)BARREIRAS->(1786034)MATEIROS,1.144
AA4097,(2166)BALSAS->S. R. MANGABEIRAS,91
AB4281,(MULTI)CUIABA->(2265123)RIO CRESPO,1.309
AB4278,(MULTI)CUIABA->(1812988)SAPEZAL,510
AA6904,(MULTI)RONDONOPOLIS->ITAUBA,794
AB4196,(50070972)QUERENCIA->(50045886)CANARANA,200
AA6910,(MULTI)RONDONOPOLIS->MARCELANDIA,903
AA4234,(Progresso)SBAST LEAL->C. DE MAGALHAES,796
AA4269,(Progresso)SBAST LEAL->PIRAQUE,697
AA4212,(Progresso)SBAST LEAL->ARAGUAINA,591
AA4289,(Progresso)SBAST LEAL->TALISMA,1.281
AB3663,(UNIGGEL)CHAPADAO DO CEU->(1573704)TALIS,960
AB6067,(MULTI)SANTANA DO ARAGUAIA->(1860144)ULI,98
AB3984,(ORIGEO)CUIABA->(1565503)PRIMAVERA DO LE,243
AA4090,(2166)BALSAS->SANTA FILOMENA,236
AA4096,(2166)BALSAS->S FELIX DE BALSAS,206
AA4015,(2166)BALSAS->ALTO PARNAIBA,233
AB4511,(MULTI)CUIABA->(1900814)NOVA XAVANTINA,654
