Zona de Transporte,Id UF
BA09302565,BA
MS02952000,MS
MT06223052,MT
TO07102000,TO
MT00502000,MT
MT07352003,MT
TO12702037,TO
MT07882000,MT
MT08602016,MT
BA19552601,BA
MT07742021,MT
RO00402000,RO
MT04542081,MT
MA06402002,MA
MT07923494,MT
MS06602000,MS
MA11742000,MA
BA09302556,BA
MT07762003,MT
MT04602031,MT
BA28902588,BA
MT07922061,MT
MT03002000,MT
BA03202048,BA
BA11102834,BA
MT06172000,MT
TO18902000,TO
MT00202087,MT
MT07062392,MT
MT00602000,MT
BA28902558,BA
MA00102000,MA
MT04602071,MT
MA03202000,MA
RO00012000,RO
PA07952000,PA
MT06752000,MT
MT01802070,MT
MT07192000,MT
MA05922000,MA
MA01402014,MA
PI11202241,PI
RO00072006,RO
PR09802000,PR
BA17352014,BA
TO13302017,TO
MA11902000,MA
